Title,User_rating,Release_date,Tagline,Runtime,Genre,Certification,Cast,Budget,Revenue
Killers of the Flower Moon,76.55,"Oct 18, 2023",Greed is an animal that hungers for blood.,        3h 26m    ,"['Crime', 'Drama', 'History']",        R      ,"['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro', 'Jesse Plemons', 'Tantoo Cardinal', 'Cara Jade Myers', 'JaNae Collins', 'Jillian Dion', 'Jason Isbell']",200000000.0,155500000.0
Freelance,64.28,"Jan 05, 2023",Retirement didn't suit him.,        1h 48m    ,"['Action', 'Comedy']",        R      ,"['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Alice Eve', 'Marton Csokas', 'Christian Slater', 'Julianne Arrieta', 'Molly McCann', 'Daniel Toro']",40000000.0,8900000.0
Wonka,72.26,"Dec 06, 2023",Every good thing in this world started with a dream.,        1h 57m    ,"['Comedy', 'Family', 'Fantasy']",        PG      ,"['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Olivia Colman', 'Rowan Atkinson', 'Hugh Grant', 'Sally Hawkins', 'Matt Lucas', 'Mathew Baynton']",125000000.0,46669322.0
Trolls Band Together,72.0,"Oct 12, 2023",There are some new trolls on the block.,        1h 32m    ,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']",        PG      ,"['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André', 'Amy Schumer', 'Andrew Rannells', 'Daveed Diggs', 'Troye Sivan', 'Kid Cudi']",95000000.0,173800000.0
Oppenheimer,81.34,"Jul 19, 2023",The world forever changes.,        3h 1m    ,"['Drama', 'History']",        R      ,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']",100000000.0,951000000.0
Five Nights at Freddy's,78.0,"Oct 25, 2023",Can you survive five nights?,        1h 50m    ,"['Horror', 'Mystery']",        PG-13      ,"['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin']",20000000.0,286700000.0
The Creator,71.22,"Sep 27, 2023",This is a fight for our very existence.,        2h 14m    ,"['Action', 'Adventure', 'Drama']",        PG-13      ,"['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney', 'Ken Watanabe', 'Sturgill Simpson', 'Amar Chadha-Patel', 'Marc Menchaca', 'Robbie Tann']",80000000.0,104000000.0
Fast X,71.99,"May 17, 2023",The end of the road begins.,        2h 22m    ,"['Action', 'Crime', 'Thriller']",        PG-13      ,"['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Jason Momoa']",340000000.0,704709660.0
Krampus,61.8,"Nov 26, 2015",You don't want to be on his list.,        1h 38m    ,"['Horror', 'Comedy', 'Fantasy']",        PG-13      ,"['Emjay Anthony', 'Adam Scott', 'Toni Collette', 'Allison Tolman', 'David Koechner', 'Stefania LaVie Owen', 'Conchata Ferrell', 'Luke Hawker', 'Gideon Emery']",15000000.0,61800000.0
Reign of Chaos,56.849999999999994,"Apr 12, 2022",Fight for your future.,        1h 17m    ,"['Action', 'Horror', 'Fantasy']",No Certification,"['Rebecca Finch', 'Ray Whelan', 'Kate Milner Evans', 'Mark Sears', 'Peter Cosgrove', 'Carmina Cordelia', 'Mike Kelson', 'Kate Lush', 'Georgia Woodthorpe']",10000.0,100.0
The Hunger Games: The Ballad of Songbirds & Snakes,72.43,"Nov 15, 2023",Everyone hungers for something.,        2h 37m    ,"['Action', 'Romance', 'Drama']",        PG-13      ,"['Tom Blyth', 'Rachel Zegler', 'Peter Dinklage', 'Jason Schwartzman', 'Hunter Schafer', 'Josh Andrés Rivera', 'Viola Davis', 'Fionnula Flanagan', 'Mackenzie Lansing']",100000000.0,258400000.0
Expend4bles,64.29,"Sep 15, 2023",They'll die when they're dead.,        1h 43m    ,"['Action', 'Adventure', 'Thriller']",        R      ,"['Sylvester Stallone', 'Jason Statham', '50 Cent', 'Megan Fox', 'Dolph Lundgren', 'Iko Uwais', 'Andy García', 'Tony Jaa', 'Randy Couture']",100000000.0,58000000.0
The Marvels,65.19999999999999,"Nov 08, 2023",Higher. Further. Faster. Together.,        1h 45m    ,"['Science Fiction', 'Adventure', 'Action']",        PG-13      ,"['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Zawe Ashton', 'Samuel L. Jackson', 'Gary Lewis', 'Park Seo-jun', 'Zenobia Shroff', 'Mohan Kapur']",274800000.0,199400000.0
Mission: Impossible - Dead Reckoning Part One,75.88,"Jul 08, 2023",We all share the same fate.,        2h 44m    ,"['Action', 'Thriller']",        PG-13      ,"['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny']",291000000.0,567500000.0
The Super Mario Bros. Movie,77.35000000000001,"Apr 05, 2023",Not all heroes wear capes. Some wear overalls.,        1h 33m    ,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",        PG      ,"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key', 'Seth Rogen', 'Fred Armisen', 'Sebastian Maniscalco', 'Charles Martinet']",100000000.0,1362000000.0
Godzilla Minus One,81.0,"Nov 03, 2023",Postwar Japan. From zero to minus.,        2h 5m    ,"['Science Fiction', 'Horror', 'Action']",        PG-13      ,"['Ryunosuke Kamiki', 'Hidetaka Yoshioka', 'Minami Hamabe', 'Kuranosuke Sasaki', 'Yuki Yamada', 'Saki Nakatani', 'Munetaka Aoki', 'Sakura Ando', 'Mio Tanaka']",13000000.0,52000000.0
Elemental,77.19,"Jun 14, 2023",Opposites react.,        1h 42m    ,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",        PG      ,"['Leah Lewis', 'Mamoudou Athie', 'Ronnie del Carmen', 'Shila Ommi', 'Wendi McLendon-Covey', ""Catherine O'Hara"", 'Mason Wertheimer', 'Ronobir Lahiri', 'Wilma Bonet']",200000000.0,496000000.0
The Equalizer 3,74.35,"Aug 30, 2023",Justice knows no borders,        1h 49m    ,"['Action', 'Thriller', 'Crime']",        R      ,"['Denzel Washington', 'Dakota Fanning', 'Eugenio Mastrandrea', 'David Denman', 'Gaia Scodellaro', 'Remo Girone', 'Andrea Scarduzio', 'Andrea Dodero', 'Daniele Perrone']",70000000.0,190000000.0
Transformers: Rise of the Beasts,74.34,"Jun 06, 2023",Unite or fall.,        2h 7m    ,"['Action', 'Adventure', 'Science Fiction']",        PG-13      ,"['Anthony Ramos', 'Dominique Fishback', 'Peter Cullen', 'Ron Perlman', 'Peter Dinklage', 'Michelle Yeoh', 'Pete Davidson', 'Liza Koshy', 'Cristo Fernández']",195000000.0,439000000.0
Barbie,71.75,"Jul 19, 2023",She's everything. He's just Ken.,        1h 54m    ,"['Comedy', 'Adventure', 'Fantasy']",        PG-13      ,"['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Kate McKinnon', 'Ariana Greenblatt', 'Simu Liu', 'Will Ferrell', 'Michael Cera', 'Helen Mirren']",145000000.0,1441800000.0
Blue Beetle,69.2,"Aug 16, 2023",Jaime Reyes is a superhero whether he likes it or not.,        2h 8m    ,"['Action', 'Science Fiction', 'Adventure']",        PG-13      ,"['Xolo Mariduena', 'Bruna Marquezine', 'Susan Sarandon', 'Raoul Max Trujillo', 'Belissa Escobedo', 'Damián Alcázar', 'Elpidia Carrillo', 'George Lopez', 'Adriana Barraza']",104000000.0,129300000.0
How the Grinch Stole Christmas,67.59,"Nov 17, 2000",He puts the mean in green.,        1h 44m    ,"['Family', 'Comedy', 'Fantasy']",        PG      ,"['Jim Carrey', 'Taylor Momsen', 'Jeffrey Tambor', 'Christine Baranski', 'Bill Irwin', 'Molly Shannon', 'Clint Howard', 'Josh Ryan Evans', 'Mindy Sterling']",123000000.0,345800000.0
Meg 2: The Trench,67.14,"Aug 02, 2023",Back for seconds.,        1h 56m    ,"['Action', 'Science Fiction', 'Horror']",        PG-13      ,"['Jason Statham', 'Wu Jing', 'Shuya Sophia Cai', 'Page Kennedy', 'Sergio Peris-Mencheta', 'Sienna Guillory', 'Cliff Curtis', 'Skyler Samuels', 'Melissanthi Mahut']",129000000.0,384056482.0
The Grinch,68.47,"Nov 08, 2018",Scheme big.,        1h 25m    ,"['Animation', 'Family', 'Comedy', 'Fantasy']",        PG      ,"['Benedict Cumberbatch', 'Rashida Jones', 'Kenan Thompson', 'Cameron Seely', 'Angela Lansbury', 'Pharrell Williams', 'Ramone Hamilton', 'Sam Lavagnino', 'Scarlett Estevez']",75000000.0,508600000.0
